gender,division,game_id,boxscore_id,date,status,start_time,home_team_full,home_team_short,home_team_score,home_record,home_conference,away_team_full,away_team_short,away_team_score,away_record,away_conference,home_shots,home_sot,away_shots,away_sot
men,d1,348846,6465444,08-25-2025,final,05:00PM ET,Boston College,Boston College,1,(1-1-0),ACC,Siena University,Siena,3,(1-1-0),MAAC,12.0,3.0,17.0,7.0
men,d1,340662,6464202,08-25-2025,final,06:00PM ET,West Virginia University,West Virginia,4,(2-0-0),Sun Belt,La Salle University,La Salle,0,(0-1-1),Atlantic 10,26.0,14.0,4.0,2.0
men,d1,346648,6465089,08-25-2025,final,06:00PM ET,Stony Brook University,Stony Brook,2,(1-1-0),CAA,Sacred Heart University,Sacred Heart,1,(0-2-0),MAAC,15.0,5.0,16.0,5.0
men,d1,349260,6465555,08-25-2025,final,06:00PM ET,Davidson College,Davidson,3,(2-0-0),Atlantic 10,College of Charleston (South Carolina),Col. of Charleston,2,(0-2-0),CAA,7.0,5.0,8.0,5.0
men,d1,350887,6465767,08-25-2025,final,06:00PM ET,East Tennessee State University,ETSU,0,(0-2-0),SoCon,High Point University,High Point,1,(2-0-0),Big South,4.0,1.0,8.0,5.0
men,d1,348237,6465326,08-25-2025,final,07:00PM ET,U.S. Naval Academy,Navy,1,(0-0-2),Patriot,William & Mary,William & Mary,1,(0-0-1),CAA,9.0,3.0,7.0,3.0
men,d1,356042,6466434,08-25-2025,final,07:00PM ET,University of Pittsburgh,Pittsburgh,3,(2-0-0),ACC,Michigan State University,Michigan St.,2,(1-1-0),Big Ten,12.0,5.0,13.0,7.0
men,d1,352557,6465970,08-25-2025,final,07:00PM ET,"University of Maryland, Baltimore County",UMBC,1,(2-0-0),America East,Saint Peter's University,Saint Peter's,0,(0-2-0),MAAC,13.0,5.0,6.0,3.0
men,d1,6409885,6465502,08-25-2025,final,07:00PM ET,University of Wisconsin-Green Bay,Green Bay,0,(0-1-0),Horizon,Northern Illinois University,NIU,1,(1-0-1),MVC,10.0,2.0,14.0,6.0
men,d1,348056,6465299,08-25-2025,final,07:00PM ET,Rider University,Rider,1,(0-2-0),MAAC,Lehigh University,Lehigh,2,(1-0-1),Patriot,16.0,7.0,6.0,4.0
men,d1,343049,6464621,08-25-2025,final,07:00PM ET,Elon University,Elon,0,(0-0-1),CAA,Old Dominion University,Old Dominion,0,(1-0-1),Sun Belt,8.0,3.0,9.0,1.0
men,d1,341626,6464419,08-25-2025,final,07:00PM ET,Fairfield University,Fairfield,3,(2-0-0),MAAC,Monmouth University,Monmouth,0,(0-2-0),CAA,10.0,6.0,17.0,7.0
men,d1,340409,6464084,08-25-2025,final,07:00PM ET,The University of North Carolina at Charlotte,Charlotte,6,(1-1-0),American,Queens University of Charlotte,Queens (NC),0,(0-2-0),ASUN,17.0,9.0,9.0,5.0
men,d1,338666,6463610,08-25-2025,final,07:00PM ET,Georgetown University,Georgetown,0,(0-2-0),Big East,"University of Maryland, College Park",Maryland,1,(1-0-0),Big Ten,18.0,6.0,15.0,5.0
men,d1,338132,6463527,08-25-2025,final,07:00PM ET,Providence College,Providence,0,(0-2-0),Big East,University of New Haven,New Haven,1,(2-0-0),NEC,21.0,6.0,5.0,4.0
men,d1,351558,6465820,08-25-2025,final,07:30PM ET,University of Kentucky,Kentucky,1,(2-0-0),Sun Belt,Bellarmine University,Bellarmine,0,(0-1-1),ASUN,13.0,6.0,2.0,1.0
men,d1,354643,6466189,08-25-2025,final,08:00PM ET,University of Alabama at Birmingham,UAB,0,(0-1-0),American,University of Louisville,Louisville,1,(2-0-0),ACC,8.0,1.0,11.0,5.0
men,d1,341969,6464477,08-25-2025,final,08:30PM ET,University of Missouri-Kansas City,Kansas City,2,(1-0-1),Summit League,Missouri State University,Missouri St.,1,(1-1-0),American,5.0,2.0,15.0,5.0
men,d1,337719,6463403,08-25-2025,final,10:00PM ET,Grand Canyon University,Grand Canyon,3,(2-0-0),WAC,Cleveland State University,Cleveland St.,1,(0-1-1),Horizon,16.0,10.0,2.0,2.0
men,d1,344462,6464859,08-25-2025,final,10:00PM ET,"California State University, Bakersfield",CSU Bakersfield,1,(0-2-0),Big West,California Baptist University,California Baptist,2,(2-0-0),WAC,7.0,3.0,10.0,2.0
men,d1,345756,6465070,08-25-2025,final,10:00PM ET,University of Portland,Portland,9,(2-0-0),WCC,Lewis & Clark College,Lewis & Clark,0,(0-0-0),NWC,30.0,15.0,0.0,0.0
men,d1,354924,6466208,08-25-2025,final,10:00PM ET,"University of California, Santa Barbara",UC Santa Barbara,2,(1-1-0),Big West,University of Central Arkansas,Central Ark.,1,(0-2-0),ASUN,28.0,11.0,18.0,6.0
men,d1,346674,6465097,08-26-2025,final,03:00PM ET,Virginia Military Institute,VMI,6,(1-1-1),SoCon,Warren Wilson College,Warren Wilson,0,(0-0-0),C2C,23.0,10.0,6.0,2.0
men,d1,338328,6463583,08-26-2025,final,06:00PM ET,University of North Carolina Asheville,UNC Asheville,3,(2-0-0),Big South,Georgia State University,Georgia St.,1,(0-1-1),Sun Belt,9.0,5.0,13.0,4.0
men,d1,339028,6463696,08-26-2025,final,06:00PM ET,Manhattan University,Manhattan,6,(1-1-0),MAAC,New Jersey City University,New Jersey City,0,(0-0-0),NJAC,23.0,15.0,2.0,0.0
men,d1,339588,6463933,08-26-2025,final,06:00PM ET,Clemson University,Clemson,4,(1-0-1),ACC,"University of South Carolina, Columbia",South Carolina,1,(1-1-0),Sun Belt,23.0,9.0,7.0,3.0
men,d1,341240,6464310,08-26-2025,final,06:00PM ET,Lindenwood University,Lindenwood,2,(2-0-0),OVC,University of Wisconsin-Milwaukee,Milwaukee,1,(0-1-1),Horizon,19.0,8.0,12.0,5.0
men,d1,344261,6464771,08-26-2025,final,06:00PM ET,Bryant University,Bryant,2,(1-0-1),America East,University of Rhode Island,Rhode Island,1,(0-1-1),Atlantic 10,13.0,6.0,5.0,1.0
men,d1,344102,6464744,08-26-2025,final,08:30PM ET,University of Southern Indiana,Southern Ind.,1,(1-1-0),OVC,Rose-Hulman Institute of Technology,Rose-Hulman,0,(0-0-0),HCAC,10.0,6.0,5.0,2.0
men,d1,337476,6463347,08-27-2025,final,07:00PM ET,University of Central Florida,UCF,4,(1-2-0),Sun Belt,The University of Texas Rio Grande Valley,UTRGV,0,(0-1-0),WAC,17.0,8.0,6.0,2.0
men,d1,350224,6465718,08-27-2025,final,07:00PM ET,Lafayette College,Lafayette,1,(1-1-0),Patriot,Le Moyne College,Le Moyne,0,(0-2-0),NEC,11.0,7.0,8.0,2.0
men,d1,337427,6463316,08-28-2025,final,12:00PM ET,Villanova University,Villanova,1,(1-0-1),Big East,Iona University,Iona,1,(0-0-2),MAAC,10.0,2.0,14.0,6.0
