gender,division,game_id,boxscore_id,date,status,start_time,home_team_full,home_team_short,home_team_score,home_record,home_conference,away_team_full,away_team_short,away_team_score,away_record,away_conference,home_shots,home_sot,away_shots,away_sot
men,d1,6408205,6465352,08-21-2025,final,01:00PM ET,University of St. Thomas (Minnesota),St. Thomas (MN),0,(0-0-1),Summit League,Presbyterian College,Presbyterian,0,(0-0-1),Big South,12.0,4.0,6.0,4.0
men,d1,6403983,6465020,08-21-2025,final,01:00PM ET,Chicago State University,Chicago St.,0,(0-1-0),NEC,Lindenwood University,Lindenwood,7,(1-0-0),OVC,5.0,3.0,22.0,13.0
men,d1,353251,6466048,08-21-2025,final,02:00PM ET,DePaul University,DePaul,3,(0-0-1),Big East,Purdue University Fort Wayne,Purdue Fort Wayne,3,(0-0-1),Horizon,14.0,7.0,18.0,7.0
men,d1,338927,6463640,08-21-2025,final,03:00PM ET,Virginia Military Institute,VMI,0,(0-1-0),SoCon,Canisius University,Canisius,3,(1-0-0),MAAC,10.0,2.0,10.0,4.0
men,d1,356071,6466465,08-21-2025,final,03:00PM ET,University of New Hampshire,New Hampshire,0,(0-1-0),America East,Boston University,Boston U.,1,(1-0-0),Patriot,9.0,2.0,5.0,3.0
men,d1,353499,6466071,08-21-2025,final,04:00PM ET,Duquesne University,Duquesne,3,(1-0-0),Atlantic 10,Seton Hill University,Seton Hill,0,(0-0-0),PSAC,25.0,9.0,2.0,1.0
men,d1,352555,6465968,08-21-2025,final,04:00PM ET,University of Massachusetts Lowell,UMass Lowell,2,(1-0-0),America East,Saint Peter's University,Saint Peter's,1,(0-1-0),MAAC,14.0,7.0,14.0,7.0
men,d1,348857,6465446,08-21-2025,final,04:00PM ET,Drexel University,Drexel,0,(0-1-0),CAA,Gardner-Webb University,Gardner-Webb,4,(1-0-0),Big South,5.0,3.0,14.0,8.0
men,d1,348842,6465442,08-21-2025,final,04:00PM ET,"University of Massachusetts, Amherst",Massachusetts,3,(1-0-0),Summit League,Siena University,Siena,2,(0-1-0),MAAC,17.0,11.0,6.0,3.0
men,d1,343669,6464661,08-21-2025,final,04:00PM ET,Stonehill College,Stonehill,0,(0-1-0),NEC,Colgate University,Colgate,3,(1-0-0),Patriot,9.0,7.0,11.0,4.0
men,d1,342895,6464608,08-21-2025,final,04:00PM ET,Merrimack College,Merrimack,0,(0-1-0),MAAC,Saint Joseph's University,Saint Joseph's,1,(1-0-0),Atlantic 10,5.0,1.0,11.0,5.0
