gender,division,game_id,boxscore_id,date,status,start_time,home_team_full,home_team_short,home_team_score,home_record,home_conference,away_team_full,away_team_short,away_team_score,away_record,away_conference,home_shots,home_sot,away_shots,away_sot
women,d1,6393000,6463219,08-14-2025,final,12:00PM ET,Mercyhurst University,Mercyhurst,1,(0-0-1),NEC,Northern Kentucky University,Northern Ky.,1,(0-0-1),Horizon,12.0,6.0,15.0,10.0
women,d1,357049,6467380,08-14-2025,final,12:00PM ET,Alabama State University,Alabama St.,2,(0-0-1),SWAC,Mobile,Mobile,2,(0-0-0),IND,10.0,4.0,8.0,4.0
women,d1,6387012,6462486,08-14-2025,final,01:00PM ET,American University,American,0,(0-1-0),Patriot,George Washington University,George Washington,1,(1-0-0),Atlantic 10,10.0,2.0,4.0,3.0
women,d1,6397128,6464088,08-14-2025,final,01:00PM ET,Central Michigan University,Central Mich.,0,(0-1-0),MAC,Butler University,Butler,2,(1-0-0),Big East,3.0,1.0,20.0,10.0
women,d1,6412043,6466739,08-14-2025,final,02:00PM ET,East Carolina University,East Carolina,1,(0-1-0),American,Liberty University,Liberty,3,(1-0-0),CUSA,9.0,2.0,18.0,10.0
women,d1,6391318,6463100,08-14-2025,final,03:00PM ET,Eastern Kentucky University,Eastern Ky.,3,(1-0-0),ASUN,University of Toledo,Toledo,1,(0-1-0),MAC,11.0,6.0,18.0,12.0
women,d1,341923,6463881,08-14-2025,final,03:00PM ET,University of North Carolina Wilmington,UNCW,0,(0-1-0),CAA,The University of North Carolina at Charlotte,Charlotte,2,(1-0-0),American,6.0,2.0,8.0,4.0
women,d1,6395454,6463692,08-14-2025,final,04:00PM ET,Villanova University,Villanova,1,(0-1-0),Big East,University of Michigan,Michigan,2,(1-0-0),Big Ten,9.0,3.0,16.0,6.0
women,d1,6402017,6464988,08-14-2025,final,04:00PM ET,"University of Massachusetts, Amherst",Massachusetts,1,(1-0-0),MAC,St. John's University (New York),St. John's (NY),0,(0-1-0),Big East,13.0,5.0,5.0,2.0
women,d1,6409757,6466462,08-14-2025,final,04:00PM ET,Siena University,Siena,2,(1-0-0),MAAC,Lafayette College,Lafayette,0,(0-1-0),Patriot,8.0,5.0,7.0,1.0
women,d1,352334,6467010,08-14-2025,final,04:00PM ET,Robert Morris University,Robert Morris,0,(0-1-0),Horizon,U.S. Naval Academy,Navy,3,(1-0-0),Patriot,7.0,3.0,11.0,6.0
women,d1,6390140,6478594,08-14-2025,final,04:00PM ET,Ohio University,Ohio,2,(1-0-0),MAC,Western Kentucky University,Western Ky.,0,(0-1-0),CUSA,12.0,7.0,7.0,3.0
women,d1,6405969,6465898,08-14-2025,final,04:30PM ET,Eastern Michigan University,Eastern Mich.,0,(0-1-0),MAC,University of Cincinnati,Cincinnati,4,(1-0-0),Big 12,6.0,2.0,19.0,8.0
women,d1,6389842,6462885,08-14-2025,final,05:00PM ET,University of South Dakota,South Dakota,1,(0-0-1),Summit League,University of Northern Iowa,UNI,1,(0-0-1),MVC,21.0,6.0,9.0,5.0
women,d1,6391865,6463141,08-14-2025,final,05:00PM ET,Arkansas State University,Arkansas St.,2,(1-0-0),Sun Belt,Texas A&M University-Corpus Christi,A&M-Corpus Christi,1,(0-1-0),Southland,17.0,8.0,14.0,4.0
women,d1,6400725,6464818,08-14-2025,final,05:00PM ET,University of Richmond,Richmond,5,(1-0-0),Atlantic 10,Virginia Military Institute,VMI,0,(0-1-0),SoCon,19.0,13.0,10.0,8.0
women,d1,6405962,6465896,08-14-2025,final,05:00PM ET,DePaul University,DePaul,6,(1-0-0),Big East,Chicago State University,Chicago St.,2,(0-1-0),NEC,23.0,12.0,7.0,3.0
women,d1,6408992,6466410,08-14-2025,final,05:00PM ET,Viterbo,Viterbo,0,(0-0-0),IND,University of St. Thomas (Minnesota),St. Thomas (MN),5,(1-0-0),Summit League,6.0,5.0,19.0,11.0
women,d1,6411967,6466732,08-14-2025,final,05:00PM ET,Murray State University,Murray St.,2,(1-0-0),MVC,Troy University,Troy,0,(0-1-0),Sun Belt,21.0,8.0,10.0,4.0
women,d1,6389758,6462844,08-14-2025,final,06:00PM ET,Canisius University,Canisius,0,(0-1-0),MAAC,"University at Buffalo, the State University of New York",Buffalo,3,(1-0-0),MAC,4.0,3.0,17.0,12.0
women,d1,6391101,6463075,08-14-2025,final,06:00PM ET,University of Louisiana Monroe,ULM,4,(1-0-0),Sun Belt,Southeastern Louisiana University,Southeastern La.,0,(0-1-0),Southland,8.0,4.0,1.0,0.0
women,d1,6395399,6463675,08-14-2025,final,06:00PM ET,Western Carolina University,Western Caro.,2,(0-1-0),SoCon,Appalachian State University,App State,3,(1-0-0),Sun Belt,16.0,9.0,13.0,5.0
women,d1,6399400,6464521,08-14-2025,final,06:00PM ET,La Salle University,La Salle,3,(1-0-0),Atlantic 10,Bucknell University,Bucknell,2,(0-1-0),Patriot,11.0,7.0,12.0,6.0
women,d1,6403357,6465353,08-14-2025,final,06:00PM ET,College of the Holy Cross,Holy Cross,0,(0-1-0),Patriot,Fairfield University,Fairfield,1,(1-0-0),MAAC,13.0,6.0,15.0,6.0
women,d1,6403674,6465457,08-14-2025,final,06:00PM ET,University of Illinois Chicago,UIC,0,(0-1-0),MVC,University of Illinois Urbana-Champaign,Illinois,1,(1-0-0),Big Ten,9.0,5.0,16.0,11.0
women,d1,6405683,6465843,08-14-2025,final,06:00PM ET,Stony Brook University,Stony Brook,2,(0-1-0),CAA,University of Massachusetts Lowell,UMass Lowell,4,(1-0-0),America East,26.0,13.0,13.0,7.0
women,d1,6406654,6465974,08-14-2025,final,06:00PM ET,University of Delaware,Delaware,5,(1-0-0),CUSA,Mount St. Mary's University,Mount St. Mary's,2,(0-1-0),MAAC,26.0,9.0,5.0,5.0
women,d1,6407155,6466049,08-14-2025,final,06:00PM ET,Longwood University,Longwood,4,(1-0-0),Big South,Alabama A&M University,Alabama A&M,0,(0-1-0),SWAC,21.0,9.0,3.0,0.0
women,d1,6410325,6466589,08-14-2025,final,06:00PM ET,University of Tennessee at Chattanooga,Chattanooga,4,(1-0-0),SoCon,Winthrop University,Winthrop,0,(0-1-0),Big South,19.0,6.0,6.0,1.0
