Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
A Gutterman Johns,Bryn Mawr,women,d3,1,26,0,0,0,0,0,0,0,0,0,d,Defender,0
A Wallingford,Thomas (ME),women,d3,1,79,1,0,1,1,0,0,0,0,0,null,Unknown,2
Aaliayah Barron,Arlington Baptist,women,d3,1,90,0,0,0,0,0,0,0,0,0,null,Unknown,0
Aaniylah Reese,Franklin,women,d3,1,28,0,0,1,1,0,0,0,0,0,null,Unknown,0
Aashna Narang,Manchester,women,d3,1,3,0,0,0,0,0,0,0,0,0,null,Unknown,0
Abbey Balentine,Thiel,women,d3,1,90,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abbey Birkey,Macalester,women,d3,1,33,0,0,1,1,0,0,0,0,0,F,Forward,0
Abbey Finn,Providence,women,d1,1,15,0,0,0,0,0,0,0,0,0,D,Defender,0
Abbey Korpi,North Central (MN),women,d3,1,25,0,0,0,0,0,0,0,0,0,null,Unknown,0
Abbey Scheil,Trine,women,d3,1,32,0,0,0,0,0,0,0,0,0,D,Defender,0
Abbey Underdahl,Crown (MN),women,d3,1,10,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abbi Maier,New Hampshire,women,d1,1,58,0,0,1,0,0,0,0,0,1,M,Midfielder,0
Abbi Renwick,Illinois Col.,women,d3,1,90,0,0,1,1,0,0,0,0,0,D,Defender,0
Abbie Adcock,Concordia (TX),women,d3,1,65,0,0,1,0,0,0,0,0,0,D,Defender,0
Abbie Peters,Bluffton,women,d3,2,100,0,0,1,1,0,0,0,0,0,"F, f",Forward,0
Abbie Simister,Southern Va.,women,d3,1,27,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Arrowood,Bob Jones,women,d3,1,86,0,0,0,0,0,0,0,0,0,null,Unknown,0
Abby Azzinnari,Muhlenberg,women,d3,1,53,0,0,0,0,0,0,0,0,0,M,Midfielder,0
