Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
A Gutterman Johns,Bryn Mawr,women,d3,2,77,0,0,0,0,0,0,0,0,0,d,Defender,0
A Wallingford,Thomas (ME),women,d3,1,79,1,0,1,1,0,0,0,0,0,null,Unknown,2
A'Mya Ross,Bluefield St.,women,d2,2,95,0,0,0,0,0,0,0,0,0,F,Forward,0
Aaleyah Marcellus,Alma,women,d3,1,17,1,0,1,1,0,0,0,0,0,FORWARD,Forward,2
Aalia Patel,Willamette,women,d3,1,9,0,0,0,0,0,0,0,0,0,MIDFIELDER,Midfielder,0
Aaliah Barwick,Regis (CO),women,d2,2,124,0,0,0,0,0,0,0,0,0,D,Defender,0
Aaliayah Barron,Arlington Baptist,women,d3,1,90,0,0,0,0,0,0,0,0,0,null,Unknown,0
Aaliyah Alatorre,Menlo,women,d2,1,90,0,0,0,0,0,0,0,0,0,D,Defender,0
Aaliyah Carter,Alabama St.,women,d1,1,22,0,0,0,0,0,0,0,0,0,D,Defender,0
Aaliyah Faddoul,Georgia St.,women,d1,2,180,0,1,0,5,0,0,0,0,0,F,Forward,1
Aaliyah Grigsby,Menlo,women,d2,1,57,0,0,0,0,0,0,0,0,0,F,Forward,0
Aaliyah Leanos,Roosevelt ,women,d2,2,97,0,0,0,1,0,0,0,0,0,F,Forward,0
Aaliyah Mcpeak,West Tex. A&M,women,d2,2,117,0,1,0,1,0,0,0,0,0,F,Forward,1
Aaliyah Schinaman,George Mason,women,d1,1,72,0,0,0,0,0,0,0,0,0,F,Forward,0
Aaliyah Stocks,Mansfield,women,d2,2,180,0,0,0,0,0,0,0,0,0,F,Forward,0
Aaliyaiah Durden,UTSA,women,d1,2,117,0,0,0,1,0,0,0,0,0,D,Defender,0
Aaniyah Frye,Grambling,women,d1,2,136,0,0,0,0,0,0,0,0,0,D,Defender,0
Aaniylah Reese,Franklin,women,d3,2,57,0,0,1,1,0,0,0,0,0,null,Unknown,0
Aariana Valadez,Randall,women,d2,1,65,0,0,0,0,0,0,0,0,0,,Unknown,0
Aashika Govindasmay,Brewton-Parker,women,d2,0,0,0,0,0,0,0,0,0,0,0,,Unknown,0
Aashna Narang,Manchester,women,d3,1,3,0,0,0,0,0,0,0,0,0,null,Unknown,0
Abbey Balentine,Thiel,women,d3,1,90,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abbey Birkey,Macalester,women,d3,2,123,0,0,1,1,0,0,0,0,0,F,Forward,0
Abbey Blancett,Northwest Nazarene,women,d2,1,78,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abbey Brosnihan,Lees-McRae,women,d2,1,90,0,0,0,0,1,0,0,0,0,M,Midfielder,0
Abbey Burkhalter,Millikin,women,d3,1,5,0,0,0,0,0,0,0,0,0,STRIKER,Unknown,0
Abbey Burns,UAB,women,d1,2,180,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abbey Cook,Penn,women,d1,2,136,1,0,0,2,0,0,0,0,0,F,Forward,2
Abbey Cowles,Robert Morris,women,d1,1,90,0,0,0,0,0,0,0,0,0,GK,Goalkeeper,0
Abbey Dugan,Hardin-Simmons,women,d3,3,120,0,0,0,2,0,0,0,0,0,M,Midfielder,0
Abbey Eison,Georgia College,women,d2,2,156,0,0,0,1,0,0,0,0,0,F,Forward,0
Abbey Finn,Providence,women,d1,1,15,0,0,0,0,0,0,0,0,0,D,Defender,0
Abbey Gatesman,Newman,women,d2,1,10,0,0,0,0,0,0,0,0,0,,Unknown,0
Abbey Harland,Christian Brothers,women,d2,1,25,0,0,0,0,0,0,0,0,0,F,Forward,0
Abbey Hayberg,ETSU,women,d1,2,72,0,0,0,1,0,0,0,0,0,M,Midfielder,0
Abbey Iler,Indiana,women,d1,2,60,1,0,0,1,0,0,0,0,0,D,Defender,2
Abbey Johnson,MSU Moorhead,women,d2,2,56,0,0,0,0,0,0,0,0,0,D,Defender,0
Abbey Keyes,New England Col.,women,d3,2,156,0,1,0,1,0,0,0,0,0,f/m,Midfielder,1
Abbey Korpi,North Central (MN),women,d3,3,158,0,0,0,0,0,0,0,0,0,"M, null",Unknown,0
Abbey Lee,Midwestern St.,women,d2,2,109,1,0,0,3,0,0,0,0,0,F,Forward,2
Abbey Lodato,Detroit Mercy,women,d1,2,170,0,1,0,2,0,0,0,0,0,M,Midfielder,1
Abbey Macdonald,Murray St.,women,d1,2,34,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abbey Marak,Chattanooga,women,d1,2,168,0,1,0,0,0,0,0,0,0,D,Defender,1
