Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
A.J. Cucinotta,Massachusetts,men,d1,1,16,0,0,0,0,0,0,0,0,0,D,Defender,0
Aaron Asamoah,Longwood,men,d1,1,67,0,0,2,0,0,0,0,0,0,M,Midfielder,0
Aaron Basenach,Hofstra,men,d1,2,59,0,1,0,0,0,0,0,0,1,M,Midfielder,1
Aaron Bruening,Longwood,men,d1,1,35,0,0,0,0,0,0,0,0,2,F,Forward,0
Aaron Deppe,Creighton,men,d1,2,123,0,0,1,1,0,0,0,0,0,D,Defender,0
Aaron Hurge,Ohio St.,men,d1,1,64,0,0,1,1,1,0,0,0,0,M,Midfielder,0
Aaron O'Reilly,Northwestern,men,d1,2,151,1,1,4,1,0,0,0,0,0,F,Forward,3
Aaron Pondeca,Mercer,men,d1,1,24,0,0,0,0,0,0,0,0,1,F,Forward,0
Aaron Uribe,Trinity Baptist,men,d1,1,45,0,0,0,0,0,0,0,0,2,null,Unknown,0
Aaron Zhao,Chicago St.,men,d1,2,134,0,0,0,0,0,0,0,0,1,M,Midfielder,0
Aarush Kamath,UIW,men,d1,2,180,0,0,0,0,0,0,0,0,1,null,Unknown,0
Abdallah Traore,Memphis,men,d1,1,12,0,0,0,0,0,0,0,0,0,D,Defender,0
Abdel Talabi,Bryant,men,d1,1,90,0,0,1,0,0,0,0,0,0,D,Defender,0
Abdi Bahur,Akron,men,d1,1,10,0,0,0,0,0,0,0,0,1,F,Forward,0
Abdou Mane,Clemson,men,d1,1,27,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abdou Samb,Utah Valley,men,d1,1,15,0,0,0,0,0,0,0,0,0,null,Unknown,0
Abdou So,Old Dominion,men,d1,1,59,0,0,1,0,0,0,0,0,1,M,Midfielder,0
Abdoul Karim Pare,Saint Louis,men,d1,2,104,0,0,1,0,1,0,0,0,5,F,Forward,0
Abdul Al-Rashed,Oakland,men,d1,2,139,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abdul Kamara,George Mason,men,d1,1,22,0,0,0,0,0,0,0,0,0,null,Unknown,0
Abe Arellano,Purdue Fort Wayne,men,d1,2,97,0,0,0,0,0,0,0,0,7,M,Midfielder,0
Abhinav Ramaraju,Air Force,men,d1,2,141,0,0,1,0,1,0,0,0,5,D,Defender,0
Abou Cherif,Mount St. Mary's,men,d1,1,7,0,0,0,0,0,0,0,0,0,F,Forward,0
Aboubacar Traore,Fla. Atlantic,men,d1,2,116,1,3,6,4,0,0,0,0,0,M,Midfielder,5
Abraham Brown,UC Irvine,men,d1,1,9,0,0,0,0,0,0,0,0,0,D,Defender,0
Abris Kelemen,La Salle,men,d1,1,20,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Aby Gomez,Central Ark.,men,d1,1,64,0,0,0,0,0,0,0,0,2,M,Midfielder,0
Ace Tendale,UC Riverside,men,d1,2,21,0,0,0,0,0,0,0,0,0,D,Defender,0
Adam Abdelaal,Merrimack,men,d1,2,59,0,0,0,0,0,0,0,0,0,F,Forward,0
Adam Abdouh,NC State,men,d1,1,45,0,0,0,0,0,0,0,0,0,D,Defender,0
Adam Aboohamidi,Memphis,men,d1,1,16,0,0,0,0,0,0,0,0,1,M,Midfielder,0
Adam Baugus,Regent,men,d1,1,16,0,0,0,0,0,0,0,0,0,null,Unknown,0
Adam Boykin,Eastern Ill.,men,d1,2,133,0,0,0,0,0,0,0,0,4,F,Forward,0
Adam Celik,Wofford,men,d1,1,90,0,0,0,0,0,0,0,0,1,D,Defender,0
Adam Dring,Saint Mary's (CA),men,d1,2,48,0,0,0,0,0,0,0,0,0,D,Defender,0
Adam Hillis,UC San Diego,men,d1,2,118,0,0,0,0,1,0,0,0,3,M,Midfielder,0
Adam Holt,Saint Peter's,men,d1,1,69,0,0,2,1,0,0,0,0,1,F,Forward,0
Adam Matej Smolcic,Western Mich.,men,d1,1,16,0,0,0,0,0,0,0,0,0,D,Defender,0
Adam Ngoran,Marshall,men,d1,1,56,0,0,3,2,0,0,0,0,0,F,Forward,0
Adam Rustami,UNC Greensboro,men,d1,2,38,0,0,0,0,0,0,0,0,1,F,Forward,0
Adam Salama,San Diego,men,d1,2,180,0,0,0,0,0,0,6,2,0,GK,Goalkeeper,0
Adam Senna,VMI,men,d1,2,101,0,0,0,0,0,0,0,0,0,D,Defender,0
