Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
Shane Ivey,Trinity (CT),men,d3,1,46,0,0,1,0,0,0,0,0,0,null,Unknown,0
Shane Macko,Misericordia,men,d3,1,68,0,0,0,0,0,0,0,0,0,F,Forward,0
Shane Micheal,Illinois Col.,men,d3,1,47,0,0,1,1,0,0,0,0,1,F,Forward,0
Shane Velez,Massachusetts,men,d1,1,78,0,0,2,0,0,0,0,0,2,D,Defender,0
Sharmarke Hassan,Norwich,men,d3,1,55,0,0,0,0,0,0,0,0,1,M,Midfielder,0
Shaun Apsley,York (PA),men,d3,1,45,0,0,0,0,0,0,0,0,1,F,Forward,0
Shawn Dixon,Penn St.-Abington,men,d3,1,20,0,0,0,0,0,0,0,0,0,null,Unknown,0
Shawn Garner,Mary Baldwin,men,d3,1,40,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Shawn Litt,Oglethorpe,men,d3,1,45,0,0,0,0,0,0,0,0,0,D,Defender,0
Shawn Shvartshtein,UMBC,men,d1,1,90,0,0,1,1,0,0,0,0,1,M,Midfielder,0
Shay O'Neill,Western New Eng.,men,d3,1,90,0,0,3,1,0,0,0,0,0,M,Midfielder,0
Shayne Thompson,Brown,men,d1,1,12,0,0,0,0,0,0,0,0,0,D,Defender,0
Shea Coughlin,Lehigh,men,d1,1,66,0,0,0,0,0,0,0,0,2,null,Unknown,0
Shea Perkins,Norwich,men,d3,1,39,0,0,0,0,0,0,0,0,1,F,Forward,0
Shea Sporer,Elizabethtown,men,d3,1,90,0,0,0,0,0,0,0,0,0,D,Defender,0
Sherwin Chen,Mount St. Mary's,men,d1,1,49,0,0,1,1,0,0,0,0,1,M,Midfielder,0
Shikhar Motupally,MIT,men,d3,1,58,0,0,2,1,0,0,0,0,0,M,Midfielder,0
Shinya Frank,Connecticut Col.,men,d3,1,52,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Sho Nadata,Haverford,men,d3,1,50,0,0,4,0,0,0,0,0,0,null,Unknown,0
Shotaro Kodama,Kansas City,men,d1,1,65,0,1,3,1,0,0,0,0,2,M,Midfielder,1
Shuma Sasaki,Michigan,men,d1,1,64,1,0,2,1,0,0,0,0,1,M,Midfielder,2
Shun Murasawa,Massachusetts,men,d1,1,19,0,0,0,0,0,0,0,0,0,D,Defender,0
Sidharth Ganeshbabu,Rose-Hulman,men,d3,1,15,0,0,1,0,0,0,0,0,0,M,Midfielder,0
Silas Dellaperute,Lancaster Bible,men,d3,2,100,0,0,2,0,2,0,0,0,2,M,Midfielder,0
Silas Gawrisch,Martin Luther,men,d3,1,79,0,0,3,0,0,0,0,0,3,M,Midfielder,0
Silas Ihde,Bethel (MN),men,d3,1,65,0,0,2,0,0,0,0,0,1,D,Defender,0
Silas Lawrence,Trinity (CT),men,d3,1,28,0,0,0,0,0,0,0,0,0,null,Unknown,0
Silas Miller,Penn College,men,d3,1,70,0,0,2,0,0,0,0,0,0,M,Midfielder,0
Silas Rella-Neill,Hamilton,men,d3,1,38,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Silvio Termini,UC Riverside,men,d1,1,8,0,0,0,0,0,0,0,0,0,M,Midfielder,0
