Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
A Deshield-Tankard,Thomas (ME),men,d3,1,9,0,0,0,0,0,0,0,0,0,null,Unknown,0
A Miron,LIFE Pacific,men,d3,1,74,0,0,1,0,0,0,0,0,0,null,Unknown,0
A Ochoa,LIFE Pacific,men,d3,1,32,0,0,0,0,0,0,0,0,0,null,Unknown,0
A Schwind,LIFE Pacific,men,d3,1,57,0,0,0,0,0,0,0,0,0,null,Unknown,0
A.J. Cucinotta,Massachusetts,men,d1,1,10,0,0,0,0,0,0,0,0,0,D,Defender,0
A.J. Schuetz,Navy,men,d1,2,112,0,0,0,0,0,0,0,0,0,F,Forward,0
Aadne Aarstad,Elmira,men,d3,2,107,0,0,2,0,0,0,0,0,1,F,Forward,0
Aalon Wilson-Wright,Tiffin,men,d2,1,33,0,0,0,1,0,0,0,0,0,,Unknown,0
Aaron Asamoah,Longwood,men,d1,1,68,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Aaron Babyak,Cairn,men,d3,2,180,0,0,0,0,0,0,0,0,1,null,Unknown,0
Aaron Baffour,Concord,men,d2,1,7,0,0,0,0,0,0,0,0,0,F,Forward,0
Aaron Basenach,Hofstra,men,d1,1,5,0,0,0,0,1,0,0,0,0,M,Midfielder,0
Aaron Bruening,Longwood,men,d1,1,5,0,1,0,0,0,0,0,0,0,F,Forward,1
Aaron Cardoza Paz,Erskine,men,d2,1,20,0,0,1,0,0,0,0,0,0,MIDFIELDER,Midfielder,0
Aaron Cedillo,John Jay,men,d3,1,34,0,0,0,0,0,1,0,0,0,null,Unknown,0
Aaron Chapman,SUNY Morrisville,men,d3,2,121,2,1,2,2,2,0,0,0,0,F,Forward,5
Aaron Cohen,Plattsburgh St.,men,d3,2,55,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Aaron Cordova,Wash. & Lee,men,d3,1,9,0,0,0,0,0,0,0,0,0,,Unknown,0
Aaron Cuenca,Marymount (VA),men,d3,1,1,0,0,0,0,0,0,0,0,0,D,Defender,0
Aaron Deans,Va. Wesleyan,men,d3,4,307,0,0,0,0,1,0,0,0,1,"D, def",Defender,0
Aaron Deskin,Arcadia,men,d3,1,15,0,0,0,0,1,0,0,0,0,F,Forward,0
Aaron Garrote,Lenoir-Rhyne,men,d2,1,67,1,0,0,2,0,0,0,0,0,M,Midfielder,2
Aaron Glikin,Salisbury,men,d3,3,88,0,0,0,1,0,0,0,0,0,null,Unknown,0
Aaron Gomez,Union (TN),men,d2,1,1,0,0,0,0,0,0,0,0,0,D,Defender,0
Aaron Gonzales,Centenary (LA),men,d3,3,240,0,0,0,0,0,0,0,0,0,d,Defender,0
Aaron Henslovitz,Caltech,men,d3,2,96,0,0,0,0,0,0,0,0,0,D,Defender,0
Aaron Hurge,Ohio St.,men,d1,1,31,0,0,0,0,1,0,0,0,0,M,Midfielder,0
Aaron Jones,Maranatha Baptist,men,d3,1,90,0,0,0,0,0,0,0,0,0,,Unknown,0
Aaron Juarez,Penn St.-Scranton,men,d3,1,38,0,0,0,0,0,0,0,0,1,null,Unknown,0
Aaron Ketchmark,Manchester,men,d3,1,90,0,0,0,0,0,0,6,0,0,GK,Goalkeeper,0
Aaron Lambert,Wis. Lutheran,men,d3,4,329,0,0,0,0,0,0,7,3,0,GK,Goalkeeper,0
Aaron Lamy-Ramsden,Penn St.-Altoona,men,d3,2,153,0,0,0,0,2,0,0,0,0,"d/m, null",Midfielder,0
Aaron Lang,Felician,men,d2,2,26,0,0,0,0,0,0,0,0,0,F,Forward,0
Aaron Mackall,Minn.-Morris,men,d2,1,87,2,0,0,2,0,0,0,0,0,F,Forward,4
Aaron Mackall,Minn.-Morris,men,d3,2,136,0,0,0,5,0,0,0,0,0,F,Forward,0
Aaron Mccrory,Huntingdon,men,d3,3,249,1,0,0,1,1,0,0,0,0,D,Defender,2
Aaron Muncaster,Salve Regina,men,d3,1,71,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Aaron O'Malley,Massachusetts,men,d1,2,31,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Aaron O'Reilly,Northwestern,men,d1,2,153,0,1,2,1,1,0,0,0,0,F,Forward,1
Aaron Ocana,Rutgers-Newark,men,d3,1,13,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Aaron Osborne,Delaware Valley,men,d3,3,99,1,0,1,1,0,0,0,0,2,"F, f",Forward,2
Aaron Overmars,Clayton St.,men,d2,2,31,1,0,0,1,0,0,0,0,0,D,Defender,2
