Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
Aaliyah Carter,Alabama St.,women,d1,1,56,0,0,0,0,0,0,0,0,0,D,Defender,0
Aaliyah Faddoul,Georgia St.,women,d1,2,148,1,3,13,7,0,0,0,0,4,F,Forward,5
Aaliyah Mohammed,Ga. Southern,women,d1,1,5,0,0,0,0,0,0,0,0,0,F,Forward,0
Aaliyah Pena,Central Mich.,women,d1,1,5,0,0,0,0,0,0,0,0,1,F,Forward,0
Aaliyaiah Durden,UTSA,women,d1,2,161,0,0,1,1,0,0,0,0,3,M,Midfielder,0
Abbey Burns,UAB,women,d1,2,138,0,0,1,0,0,0,0,0,3,M,Midfielder,0
Abbey Dalton,Michigan St.,women,d1,2,37,0,0,1,0,0,0,0,0,0,null,Unknown,0
Abbey Finn,Providence,women,d1,1,30,0,0,0,0,0,0,0,0,0,D,Defender,0
Abbey Hayberg,ETSU,women,d1,2,80,0,0,3,2,0,0,0,0,0,M,Midfielder,0
Abbey Iler,Indiana,women,d1,1,25,0,0,1,0,0,0,0,0,0,D,Defender,0
Abbey Lodato,Detroit Mercy,women,d1,2,159,2,0,5,3,0,0,0,0,10,M,Midfielder,4
Abbey Macdonald,Murray St.,women,d1,1,9,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abbey Marak,Chattanooga,women,d1,2,174,0,0,0,0,0,0,0,0,3,null,Unknown,0
Abbey Merchant,UConn,women,d1,1,17,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abbey Olexa,West Virginia,women,d1,1,63,0,0,1,1,0,0,0,0,0,F,Forward,0
Abbey Pierson,UNCW,women,d1,2,96,0,0,1,0,0,0,0,0,0,"M, null",Midfielder,0
Abbey Stanton,Wisconsin,women,d1,2,20,0,0,0,0,0,0,0,0,0,null,Unknown,0
Abbey Thornton,Maine,women,d1,1,61,0,0,2,1,0,0,0,0,1,M,Midfielder,0
Abbi Armstrong,Central Ark.,women,d1,2,51,0,0,0,0,0,0,0,0,1,F,Forward,0
Abbi Leonard,Oregon St.,women,d1,2,110,0,0,0,0,1,0,0,0,0,D,Defender,0
Abbi Maier,New Hampshire,women,d1,1,38,0,0,1,0,0,0,0,0,0,M,Midfielder,0
Abbie Bailey,UTRGV,women,d1,2,180,0,0,0,0,0,0,0,0,0,D,Defender,0
Abbie Mai,Seattle U,women,d1,1,31,0,0,1,0,0,0,0,0,0,M,Midfielder,0
Abbie Mchenry,UT Martin,women,d1,1,18,0,0,0,0,0,0,0,0,0,null,Unknown,0
Abbie Wise,Western Caro.,women,d1,2,180,0,0,0,0,0,0,0,0,4,D,Defender,0
Abby Baldridge,Western Mich.,women,d1,1,62,0,0,0,0,0,0,0,0,0,D,Defender,0
