Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
,Fredonia,men,d3,0,0,0,0,0,0,0,0,0,0,2,kuby,Unknown,0
10 10,Mo. Baptist,men,d3,1,61,0,0,1,0,0,0,0,0,0,null,Unknown,0
13 13,Mo. Baptist,men,d3,1,78,0,0,0,0,0,0,0,0,0,null,Unknown,0
14 14,Mo. Baptist,men,d3,1,56,0,0,0,0,0,0,0,0,0,null,Unknown,0
15 15,Mo. Baptist,men,d3,1,66,0,0,2,1,0,0,0,0,0,null,Unknown,0
16 16,Mo. Baptist,men,d3,1,52,0,0,1,1,0,0,0,0,0,null,Unknown,0
19 19,Mo. Baptist,men,d3,1,45,0,0,1,1,0,0,0,0,0,null,Unknown,0
20 20,Mo. Baptist,men,d3,1,34,0,0,2,1,0,0,0,0,0,null,Unknown,0
23 23,Mo. Baptist,men,d3,1,66,0,0,0,0,0,0,0,0,0,null,Unknown,0
24 24,Mo. Baptist,men,d3,1,14,0,0,0,0,0,0,0,0,0,null,Unknown,0
25 25,Mo. Baptist,men,d3,1,45,0,0,0,0,0,0,0,0,0,null,Unknown,0
26 26,Mo. Baptist,men,d3,1,45,0,0,0,0,0,0,0,0,0,null,Unknown,0
27 27,Mo. Baptist,men,d3,1,20,0,0,0,0,0,0,0,0,0,null,Unknown,0
28 28,Mo. Baptist,men,d3,1,30,0,0,0,0,0,0,0,0,0,null,Unknown,0
3 3,Mo. Baptist,men,d3,1,45,0,0,0,0,0,0,0,0,0,null,Unknown,0
30 30,Mo. Baptist,men,d3,1,90,0,0,0,0,0,0,0,2,0,GK,Goalkeeper,0
33 33,Mo. Baptist,men,d3,1,45,0,0,0,0,0,0,0,0,0,null,Unknown,0
5 5,Mo. Baptist,men,d3,1,20,0,0,0,0,0,0,0,0,0,null,Unknown,0
6 6,Mo. Baptist,men,d3,1,29,0,0,0,0,0,0,0,0,0,null,Unknown,0
7 7,Mo. Baptist,men,d3,1,47,0,0,1,0,0,0,0,0,0,null,Unknown,0
8 8,Mo. Baptist,men,d3,1,70,0,0,0,0,0,0,0,0,0,null,Unknown,0
