Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
",Jenai Wood",South Carolina St.,women,d1,1,28,0,0,0,0,0,0,0,0,0,D,Defender,0
A Boyd-Feuerstein,Piedmont,women,d3,1,45,0,0,0,0,0,0,0,0,0,null,Unknown,0
A Gutterman Johns,Bryn Mawr,women,d3,1,24,0,1,0,0,0,0,0,0,0,null,Unknown,1
A Puente,Hendrix,women,d3,1,21,0,0,0,0,0,0,0,0,0,null,Unknown,0
A Ross,Hendrix,women,d3,1,7,0,0,0,0,0,0,0,0,0,null,Unknown,0
A Solberg-Kieler,Lakeland,women,d3,1,66,0,0,0,0,0,0,0,0,0,d,Defender,0
A Valente-Arreola,Salem (NC),women,d3,1,90,0,0,0,0,0,0,0,0,0,null,Unknown,0
Aaleyah Marcellus,Alma,women,d3,2,62,0,0,0,0,0,0,0,0,1,F,Forward,0
Aaliyah Carter,Alabama St.,women,d1,2,43,0,0,0,0,1,0,0,0,0,D,Defender,0
Aaliyah Faddoul,Georgia St.,women,d1,2,177,0,1,10,5,0,0,0,0,4,F,Forward,1
Aaliyah Matthews,Concordia (NE),women,d3,1,79,0,0,0,0,0,0,0,0,0,gk,Goalkeeper,0
Aaliyah Mohammed,Ga. Southern,women,d1,1,10,0,0,0,0,0,0,0,0,1,F,Forward,0
Aaliyah Pitts,Georgetown,women,d1,1,27,0,0,0,0,0,0,0,0,0,D,Defender,0
Aaliyah Schinaman,George Mason,women,d1,2,131,0,0,1,1,0,0,0,0,0,F,Forward,0
Aaliyaiah Durden,UTSA,women,d1,2,180,0,0,0,0,0,0,0,0,5,D,Defender,0
Aaniyah Frye,Grambling,women,d1,1,37,0,0,1,1,0,0,0,0,0,D,Defender,0
Aayla Burgo,Mount St. Mary's,women,d1,1,16,0,0,0,0,0,0,0,0,3,F,Forward,0
Abbey Balentine,Thiel,women,d3,1,90,0,0,0,0,0,0,0,0,3,M,Midfielder,0
Abbey Birkey,Macalester,women,d3,1,67,0,0,0,0,0,0,0,0,0,F,Forward,0
Abbey Blancett,Northwest Nazarene,women,d2,1,86,0,1,0,0,0,0,0,0,1,MIDFIELDER,Midfielder,1
Abbey Burns,UAB,women,d1,1,63,0,1,0,0,0,0,0,0,0,M,Midfielder,1
Abbey Cook,Penn,women,d1,2,128,0,0,3,1,0,0,0,0,0,F,Forward,0
Abbey Dalton,Michigan St.,women,d1,1,22,0,0,1,0,0,0,0,0,1,null,Unknown,0
Abbey Finn,Providence,women,d1,1,67,0,0,0,0,0,0,0,0,1,D,Defender,0
Abbey Hayberg,ETSU,women,d1,2,82,0,0,0,0,1,0,0,0,0,M,Midfielder,0
Abbey Iler,Indiana,women,d1,2,44,1,0,1,1,0,0,0,0,1,D,Defender,2
Abbey Johnson,MSU Moorhead,women,d1,1,25,0,0,0,0,0,0,0,0,0,D,Defender,0
Abbey Keyes,New England Col.,women,d3,1,40,1,0,1,1,0,0,0,0,0,f/m,Midfielder,2
Abbey Korpi,North Central (MN),women,d3,1,90,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abbey Lodato,Detroit Mercy,women,d1,1,88,1,0,2,2,0,0,0,0,4,M,Midfielder,2
Abbey Macdonald,Murray St.,women,d1,2,57,0,1,1,0,0,0,0,0,0,M,Midfielder,1
Abbey Marak,Chattanooga,women,d1,1,90,0,0,0,0,0,0,0,0,1,null,Unknown,0
Abbey Merchant,UConn,women,d1,1,13,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abbey Olexa,West Virginia,women,d1,2,103,2,0,5,4,0,0,0,0,0,F,Forward,4
Abbey Pierson,UNCW,women,d1,2,45,0,0,0,0,0,0,0,0,0,"M, null",Midfielder,0
Abbey Thornton,Maine,women,d1,2,126,1,0,1,1,0,0,0,0,1,M,Midfielder,2
Abbey Underdahl,Crown (MN),women,d3,1,8,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abbey Whaley,Westminster (PA),women,d3,1,38,0,0,0,0,0,0,0,0,0,null,Unknown,0
Abbi Armstrong,Central Ark.,women,d1,1,10,0,0,0,0,0,0,0,0,0,F,Forward,0
Abbi Klopchin,Arcadia,women,d3,2,147,0,0,0,0,0,0,0,0,4,D,Defender,0
Abbi Leonard,Oregon St.,women,d1,2,180,0,0,1,0,0,0,0,0,1,D,Defender,0
Abbi Maier,New Hampshire,women,d1,2,116,1,0,5,2,0,0,0,0,2,M,Midfielder,2
Abbi Renwick,Illinois Col.,women,d3,2,180,0,0,8,4,0,0,0,0,5,D,Defender,0
Abbi Roubidoux,Col. of Idaho,women,d2,1,77,1,0,5,4,0,0,0,0,0,FORWARD,Forward,2
Abbi Roubidoux,Col. of Idaho,women,d3,1,70,3,0,8,6,0,0,0,0,0,F,Forward,6
Abbie Adcock,Concordia (TX),women,d3,1,45,0,0,0,0,0,0,0,0,0,D,Defender,0
Abbie Bailey,UTRGV,women,d1,1,90,0,0,0,0,0,0,0,0,1,D,Defender,0
Abbie Getz,Lycoming,women,d3,1,7,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abbie Jackson,Redlands,women,d3,1,51,0,0,0,0,0,0,0,0,0,null,Unknown,0
Abbie Mai,Seattle U,women,d1,2,37,0,0,2,2,0,0,0,0,0,M,Midfielder,0
Abbie Mchenry,UT Martin,women,d1,1,14,0,0,0,0,0,0,0,0,0,null,Unknown,0
Abbie Wetzel,Howard Payne,women,d3,2,117,0,0,2,1,0,0,0,0,0,"F, f",Forward,0
Abbie Wise,Western Caro.,women,d1,2,180,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Arrowood,Bob Jones,women,d3,2,75,0,0,1,0,0,0,0,0,0,null,Unknown,0
Abby Azzinnari,Muhlenberg,women,d3,1,38,0,0,0,0,0,0,0,0,0,null,Unknown,0
Abby Baldridge,Western Mich.,women,d1,1,10,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Batts,Tennessee,women,d1,1,32,0,0,1,0,0,0,0,0,1,F,Forward,0
Abby Beal,Wis.-Eau Claire,women,d3,1,9,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Beasley,New Hampshire,women,d1,2,180,0,0,2,1,0,0,0,0,1,D,Defender,0
Abby Bell,Rhodes,women,d3,2,180,0,1,1,0,0,0,0,0,0,D,Defender,1
Abby Bell,Simpson,women,d3,2,149,0,1,8,3,1,0,0,0,1,null,Unknown,1
Abby Bolz,Wilkes,women,d3,1,70,0,0,0,0,0,0,0,0,1,F,Forward,0
Abby Borland,Wittenberg,women,d3,1,60,0,0,0,0,0,0,0,0,0,F,Forward,0
Abby Breitschuh,Kent St.,women,d1,2,170,1,0,1,1,0,0,0,0,2,D,Defender,2
Abby Brinker,Elon,women,d1,1,8,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Broom,Sweet Briar,women,d3,1,90,0,0,0,0,0,0,0,0,0,d,Defender,0
Abby Brown,York (PA),women,d3,2,82,0,0,3,1,0,0,0,0,0,null,Unknown,0
Abby Bryant,Franklin,women,d3,1,13,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abby Buonagurio,Scranton,women,d3,1,17,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Bush,Northern Colo.,women,d1,1,34,0,0,0,0,0,0,0,0,2,M,Midfielder,0
Abby Cameron,Northern Ariz.,women,d1,2,30,0,0,1,1,0,0,0,0,0,F,Forward,0
Abby Chambers,Emmanuel (MA),women,d3,1,34,0,1,2,2,0,0,0,0,0,null,Unknown,1
Abby Cole,Jacksonville St.,women,d1,2,10,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abby Cole,Mt. St. Joseph,women,d3,1,37,0,0,1,0,0,0,0,0,0,M,Midfielder,0
Abby Connolly,Campbell,women,d1,2,79,0,1,0,0,0,0,0,0,1,M,Midfielder,1
Abby Cooley,Illinois Tech,women,d3,1,24,0,0,2,2,0,0,0,0,0,M,Midfielder,0
Abby Corcoran,WestConn,women,d3,1,25,0,0,1,1,0,0,0,0,0,null,Unknown,0
Abby Cover,UNC Greensboro,women,d1,2,28,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abby Daly,Siena,women,d1,2,162,0,0,6,1,0,0,0,0,2,M,Midfielder,0
Abby Davis,Stevens,women,d3,1,77,0,2,3,1,0,0,0,0,1,M,Midfielder,2
Abby Davis,VTSU-Johnson,women,d3,1,50,0,0,2,1,0,0,0,0,0,M,Midfielder,0
Abby Davis,Western Ky.,women,d1,2,57,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abby Dickson,Smith,women,d3,1,70,0,0,1,0,0,0,0,0,0,M,Midfielder,0
Abby Ding,Wellesley,women,d3,1,34,0,0,0,0,0,0,0,0,1,D,Defender,0
Abby Dlug,Smith,women,d3,1,88,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Doherty,La Salle,women,d1,1,71,0,0,0,0,0,0,0,0,1,null,Unknown,0
Abby Dorunda,St. John Fisher,women,d3,1,54,0,0,1,0,0,0,0,0,0,D,Defender,0
Abby Doughty,Me.-Presque Isle,women,d3,1,64,0,0,7,5,0,0,0,0,0,"f, null",Forward,0
Abby Drontle,UW-River Falls,women,d3,2,56,1,1,7,4,0,0,0,0,0,F,Forward,3
Abby Dunnigan,SUNY Geneseo,women,d3,1,53,1,0,3,2,0,0,0,0,0,F,Forward,2
Abby Eastes,Covenant,women,d3,1,36,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abby Fagnani,St. John Fisher,women,d3,1,85,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Finkelstein,Brandeis,women,d3,1,24,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Fisher,James Madison,women,d1,2,76,0,0,0,0,0,0,0,0,2,M,Midfielder,0
Abby Fitzmaurice,St. John's (NY),women,d1,1,90,0,0,0,0,0,0,0,0,1,M,Midfielder,0
Abby Foster,SUNY Geneseo,women,d3,1,50,0,0,4,3,0,0,0,0,0,F,Forward,0
Abby Foulk,UNC Asheville,women,d1,2,118,0,2,11,4,0,0,0,0,15,null,Unknown,2
Abby Freese,Central Mich.,women,d1,1,90,0,0,2,2,0,0,0,0,1,D,Defender,0
Abby Gates,Springfield,women,d3,1,13,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Gemma,Florida,women,d1,2,180,0,0,1,1,0,0,0,0,1,D,Defender,0
Abby Giordano,Lafayette,women,d1,2,103,0,0,0,0,0,0,0,0,1,D,Defender,0
Abby Godown,Ursinus,women,d3,1,35,0,1,4,1,0,0,0,0,0,F,Forward,1
Abby Graeser,UAB,women,d1,1,45,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Gray,Carlow,women,d3,1,19,0,0,1,0,0,0,0,0,0,M,Midfielder,0
Abby Groff,Wash. & Lee,women,d3,0,0,0,0,0,0,0,0,0,0,0,null,Unknown,0
Abby Gundry,North Carolina,women,d1,2,90,0,0,0,0,0,0,0,0,1,GK,Goalkeeper,0
Abby Hall,Illinois St.,women,d1,2,145,0,0,3,0,0,0,0,0,1,D,Defender,0
Abby Hansen,Missouri St.,women,d1,2,84,0,1,3,2,0,0,0,0,1,M,Midfielder,1
Abby Hanton,Louisiana Tech,women,d1,2,123,0,0,1,0,0,0,0,0,3,F,Forward,0
Abby Haynes,Concordia (NE),women,d3,1,37,0,0,2,2,0,0,0,0,0,f,Forward,0
Abby Hepp,Mount Holyoke,women,d3,0,0,0,0,0,0,0,0,0,0,0,null,Unknown,0
Abby Herbst,Fredonia,women,d3,2,32,0,0,0,0,0,0,0,0,0,F,Forward,0
Abby Heupel,Covenant,women,d3,1,25,0,0,1,0,0,0,0,0,1,F,Forward,0
Abby Holloway,King's (PA),women,d3,1,90,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Jones,Alma,women,d3,2,134,0,0,0,0,0,0,0,0,2,M,Midfielder,0
Abby Jordan,Belhaven,women,d3,1,30,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abby Keeton,Illinois Col.,women,d3,1,32,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abby Kenkelen,Brandeis,women,d3,1,46,2,0,6,2,0,0,0,0,1,null,Unknown,4
