Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
Jasmine Leshnick,Harvard,women,d1,1,84,0,0,0,0,0,0,0,0,1,F,Forward,0
Jasmine Nixon,Syracuse,women,d1,2,170,0,0,0,0,1,0,0,0,0,D,Defender,0
Jasmine Ouatu,Coastal Carolina,women,d1,2,48,0,0,1,0,0,0,0,0,0,M,Midfielder,0
Jasmine Sims,Mount St. Mary's,women,d1,1,90,0,0,0,0,0,0,0,0,1,M,Midfielder,0
Jasmine Young,Oregon,women,d1,2,180,0,0,1,0,0,0,0,0,0,D,Defender,0
Jasmyn Brown,Omaha,women,d1,2,180,0,0,1,1,0,0,0,0,1,D,Defender,0
Jasmyne Wheeler,UC Irvine,women,d1,2,47,0,0,0,0,0,0,0,0,0,D,Defender,0
Jaycee Schumann,Rockhurst,women,d1,1,33,0,0,0,0,0,0,0,0,0,F,Forward,0
Jaycie Bass,Tarleton St.,women,d1,2,113,0,1,2,0,0,0,0,0,1,M,Midfielder,1
Jayda Hagedorn,Simon Fraser,women,d1,1,4,0,0,0,0,0,0,0,0,0,null,Unknown,0
Jayda Schoburgh,Buffalo,women,d1,1,10,0,0,0,0,0,0,0,0,0,null,Unknown,0
Jayda Shehadi,Saint Joseph's,women,d1,2,89,0,0,3,0,0,0,0,0,1,M,Midfielder,0
Jayda Sutton,Hampton,women,d1,1,71,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Jayde Holley,Oregon,women,d1,2,180,0,0,1,0,0,0,0,0,2,D,Defender,0
Jayden Boelter,FIU,women,d1,2,120,0,0,1,1,0,0,0,0,2,F,Forward,0
Jayden Emmanuel,Florida,women,d1,2,90,0,0,0,0,0,0,0,0,0,GK,Goalkeeper,0
Jayden Fisher,American,women,d1,1,25,0,0,0,0,0,0,0,0,0,D,Defender,0
Jayden Garza,Prairie View,women,d1,2,168,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Jayden Sanders,Grand Canyon,women,d1,1,9,0,0,0,0,0,0,0,0,1,D,Defender,0
Jayden Sharpless,Duquesne,women,d1,2,180,0,0,3,2,0,0,0,0,0,M,Midfielder,0
Jayla Justice,UC Riverside,women,d1,1,65,0,0,0,0,0,0,0,0,0,D,Defender,0
Jayla Roashe,Prairie View,women,d1,2,124,0,0,0,0,0,0,0,0,1,D,Defender,0
Jayla Silverio,St. Mary's (TX),women,d1,1,15,0,0,0,0,0,0,0,0,0,F,Forward,0
Jaylen Vallecillo,St. John's (NY),women,d1,1,56,0,0,1,0,0,0,0,0,0,F,Forward,0
Jayme Bialik,California Baptist,women,d1,1,25,0,0,0,0,0,0,0,0,0,null,Unknown,0
Jayme Malanda,Rutgers,women,d1,2,55,0,0,0,0,0,0,0,0,0,"M, null",Midfielder,0
Jayna Benson,Southwest Minn. St.,women,d1,1,28,0,0,0,0,0,0,0,0,1,D,Defender,0
Jayna Searles,Bowling Green,women,d1,1,6,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Jazi Barela,Wyoming,women,d1,2,112,0,0,7,1,0,0,0,0,0,F,Forward,0
Jazmin Brown,Oklahoma St.,women,d1,2,155,1,0,2,1,0,0,0,0,0,D,Defender,2
Jazmin Ferguson,LSU,women,d1,2,180,1,2,2,1,0,0,0,0,1,D,Defender,4
Jazmin Jackson,VCU,women,d1,2,88,0,0,0,0,0,0,0,0,0,F,Forward,0
Jazmin Martinez Rangel,Rockhurst,women,d1,1,14,0,0,0,0,0,0,0,0,1,F,Forward,0
Jazmyn Brass,Southern Utah,women,d1,1,90,0,0,0,0,0,0,7,1,0,GK,Goalkeeper,0
Jeanette Fieldsend,James Madison,women,d1,2,104,0,0,4,1,0,0,0,0,1,null,Unknown,0
Jen Devona,DePaul,women,d1,2,180,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Jen Handy,ULM,women,d1,2,135,0,0,0,0,0,0,4,5,0,GK,Goalkeeper,0
Jen Jackson,SMU,women,d1,1,21,0,0,0,0,0,0,0,0,0,D,Defender,0
Jen Mateyak,Detroit Mercy,women,d1,2,128,0,0,1,0,0,0,0,0,2,D,Defender,0
Jena Johannes,New Mexico St.,women,d1,2,174,0,0,0,0,0,0,0,0,1,D,Defender,0
Jenaa Knight,Charleston So.,women,d1,1,72,0,0,0,0,0,0,0,0,0,F,Forward,0
Jenae Perez,Cal St. Fullerton,women,d1,2,144,1,0,2,2,0,0,0,0,3,M,Midfielder,2
Jenelle Murphy,Holy Cross,women,d1,2,147,0,0,1,0,0,0,0,0,1,M,Midfielder,0
Jenika Davis,UC Irvine,women,d1,2,22,0,0,0,0,0,0,0,0,0,F,Forward,0
Jenna Baumann,Wisconsin,women,d1,2,74,0,0,2,1,0,0,0,0,0,null,Unknown,0
Jenna Chatterton,Indiana,women,d1,1,43,0,0,1,1,0,0,0,0,1,M,Midfielder,0
Jenna Grider,UC San Diego,women,d1,1,45,0,0,1,1,0,0,0,0,0,D,Defender,0
Jenna Hallbeck,Dayton,women,d1,1,28,0,0,0,0,0,0,0,0,2,M,Midfielder,0
Jenna Knight,Rockhurst,women,d1,1,33,0,0,0,0,0,0,0,0,0,F,Forward,0
Jenna Lang,Michigan,women,d1,2,88,0,0,3,0,0,0,0,0,3,M,Midfielder,0
Jenna Maloy,South Dakota St.,women,d1,1,56,0,1,4,1,0,0,0,0,0,M,Midfielder,1
Jenna Rivera,Cal St. Fullerton,women,d1,2,111,0,0,0,0,1,0,0,0,1,M,Midfielder,0
Jenna Rubidoux,San Diego,women,d1,2,82,0,0,0,0,0,0,0,0,0,D,Defender,0
Jenna Santiago,Duquesne,women,d1,2,75,0,0,0,0,0,0,0,0,1,D,Defender,0
Jenna Scholz,Alabama St.,women,d1,2,101,0,0,1,0,0,0,0,0,0,M,Midfielder,0
Jenna Stayart,Tennessee,women,d1,2,127,1,0,2,1,0,0,0,0,1,M,Midfielder,2
Jenna Verplancke,Kansas St.,women,d1,1,31,0,0,1,0,0,0,0,0,0,M,Midfielder,0
Jennah Quill,Bryant,women,d1,1,65,0,0,1,0,0,0,0,0,0,D,Defender,0
Jennah Wanner,Wyoming,women,d1,2,104,0,2,6,1,0,0,0,0,1,null,Unknown,2
Jenni Andjelic,Milwaukee,women,d1,1,73,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Jennie Immethun,UCLA,women,d1,2,180,0,0,0,0,0,0,0,0,0,D,Defender,0
Jennifer Mcguire,American,women,d1,1,77,1,0,3,2,0,0,0,0,0,F,Forward,2
Jenny Jacobson,Furman,women,d1,2,70,1,0,2,1,0,0,0,0,0,F,Forward,2
Jenny Loyola,TAMU-San Antonio,women,d1,1,18,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Jenny Ngankem,Texas St.,women,d1,2,54,0,0,0,0,1,0,0,0,1,D,Defender,0
Jensa Napier-Ganley,Simon Fraser,women,d1,1,65,0,0,0,0,1,0,0,0,0,M,Midfielder,0
Jensyn Lins,VCU,women,d1,2,128,0,0,0,0,0,0,0,0,0,F,Forward,0
Jericho Frigon,DePaul,women,d1,2,48,0,0,0,0,0,0,0,0,0,null,Unknown,0
Jersey Walker,Northwest (WA),women,d3,2,52,0,0,0,0,0,0,0,0,0,"M, null",Midfielder,0
Jess Beck,Elon,women,d1,1,48,0,0,0,0,0,0,0,0,0,null,Unknown,0
Jess Benattar,Bucknell,women,d1,1,90,0,0,0,0,0,0,6,3,0,GK,Goalkeeper,0
Jess Castorina,Drexel,women,d1,2,112,0,1,4,1,0,0,0,0,1,D,Defender,1
Jess Fernau,Ball St.,women,d1,2,55,0,1,0,0,0,0,0,0,0,null,Unknown,1
Jess Gray,Middle Tenn.,women,d1,1,7,0,0,0,0,0,0,0,0,0,D,Defender,0
Jess Lynskey,Fairfield,women,d1,1,18,0,0,0,0,0,0,0,0,0,F,Forward,0
Jess Moylan,Richmond,women,d1,2,144,0,0,1,0,0,0,0,0,1,null,Unknown,0
Jess Torres,Creighton,women,d1,1,52,0,0,0,0,0,0,0,0,3,M,Midfielder,0
Jess Urena,Colgate,women,d1,2,53,0,0,0,0,0,0,0,0,1,F,Forward,0
Jessica Anderson,Colorado Col.,women,d1,2,154,0,1,4,1,0,0,0,0,1,D,Defender,1
Jessica Askey,Samford,women,d1,1,77,0,0,0,0,0,0,0,0,1,null,Unknown,0
Jessica Bedolla,Arizona,women,d1,1,56,2,0,3,2,0,0,0,0,0,F,Forward,4
Jessica Black,Navy,women,d1,2,178,0,0,2,0,0,0,0,0,4,"M, null",Midfielder,0
Jessica Boyle,Charleston So.,women,d1,1,81,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Jessica Cooper,Canisius,women,d1,2,60,0,0,0,0,0,0,0,0,0,D,Defender,0
Jessica Dodd,Lindenwood,women,d1,2,159,0,0,0,0,0,0,0,0,3,D,Defender,0
Jessica Gotshall,VCU,women,d1,2,20,0,0,0,0,0,0,0,0,0,null,Unknown,0
Jessica Hill,Elon,women,d1,1,90,0,0,1,1,0,0,0,0,1,D,Defender,0
Jessica Howard,Stetson,women,d1,1,50,0,0,0,0,0,0,0,0,0,D,Defender,0
Jessica Kaye,Miami (FL),women,d1,2,151,0,0,2,0,1,0,0,0,3,F,Forward,0
Jessica Larson,Missouri,women,d1,2,180,0,0,0,0,0,0,0,0,0,null,Unknown,0
Jessica Machovec,North Dakota,women,d1,2,84,1,1,13,5,0,0,0,0,0,F,Forward,3
Jessica Marker,Houston Christian,women,d1,1,3,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Jessica Mattson,Furman,women,d1,2,115,0,0,1,1,0,0,0,0,0,"D, M",Defender,0
Jessica Mccullen,UCF,women,d1,2,116,0,0,0,0,0,0,0,0,0,D,Defender,0
Jessica Molina,Rice,women,d1,1,15,0,0,0,0,0,0,0,0,0,F,Forward,0
Jessica Osborne,Auburn,women,d1,2,80,0,0,2,0,0,0,0,0,0,D,Defender,0
Jessica Ramirez,California Baptist,women,d1,2,134,0,0,2,0,0,0,0,0,1,M,Midfielder,0
Jessica Reiss,Oral Roberts,women,d1,1,21,0,0,0,0,0,0,0,0,0,GK,Goalkeeper,0
Jessica Spitzer,Northwestern St.,women,d1,2,161,0,0,0,0,0,0,0,0,1,D,Defender,0
Jessica Steele,Lyon,women,d1,1,69,0,0,0,0,0,0,0,0,0,F,Forward,0
Jessica Whitaker,Canisius,women,d1,2,131,0,0,1,1,0,0,0,0,0,M,Midfielder,0
Jessie Bernabe,Buffalo,women,d1,1,20,0,0,2,1,0,0,0,0,0,M,Midfielder,0
Jessie Brandenburg,Loyola Maryland,women,d1,1,7,0,0,0,0,0,0,0,0,0,F,Forward,0
Jessie Halladay,Cal Poly,women,d1,1,68,0,1,1,1,0,0,0,0,1,null,Unknown,1
Jessie Hawes,Saint Mary's (CA),women,d1,1,90,0,0,0,0,0,0,0,0,1,D,Defender,0
Jessie Stauffer,Lyon,women,d1,1,90,0,0,0,0,0,0,6,2,1,GK,Goalkeeper,0
Jessie Stonehouse,Sacred Heart,women,d1,1,12,0,0,0,0,0,0,0,0,0,D,Defender,0
Jette Zimmer,UAB,women,d1,2,145,2,1,8,5,0,0,0,0,2,F,Forward,5
Jewel Foreman,Chicago St.,women,d1,2,14,0,0,0,0,1,0,0,0,0,null,Unknown,0
Jiji Sweiss,Marist,women,d1,2,109,0,1,0,0,0,0,0,0,3,M,Midfielder,1
Jill Rosenfeld,Rhode Island,women,d1,1,66,0,1,5,2,0,0,0,0,1,null,Unknown,1
Jillian Anderson,Boise St.,women,d1,2,143,0,0,4,2,1,0,0,0,0,M,Midfielder,0
Jillian Brown,Charleston So.,women,d1,1,90,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Jillian Drumm,La Salle,women,d1,2,180,0,0,3,1,1,0,0,0,4,D,Defender,0
Jillian Garcia,Marist,women,d1,2,152,1,0,2,1,0,0,0,0,1,M,Midfielder,2
Jillian Gregorski,Kansas,women,d1,2,110,0,0,3,1,0,0,0,0,2,M,Midfielder,0
Jillian Higgins,UIC,women,d1,2,99,0,0,1,1,0,0,0,0,1,F,Forward,0
Jillian Kluth,UAB,women,d1,1,5,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Jillian Marvin,Robert Morris,women,d1,1,76,0,2,0,0,0,0,0,0,0,D,Defender,2
Jillian Mcbride,Portland,women,d1,2,133,0,0,1,0,0,0,0,0,0,F,Forward,0
Jillian Medvecky,Pepperdine,women,d1,2,180,0,0,0,0,0,0,12,3,0,GK,Goalkeeper,0
Jillian Silverstone,Radford,women,d1,2,180,0,0,1,0,0,0,0,0,1,M,Midfielder,0
Jimena Perez Ayala,Central Mich.,women,d1,1,37,0,0,0,0,0,0,0,0,0,F,Forward,0
Jiselle Daniels,Troy,women,d1,2,165,3,0,10,6,1,0,0,0,1,F,Forward,6
Jj Hoover,LMU (CA),women,d1,1,90,0,0,0,0,0,0,6,3,0,GK,Goalkeeper,0
Jj Marzot,Boston U.,women,d1,2,46,0,0,0,0,0,0,0,0,0,D,Defender,0
Jo Sees,Nebraska,women,d1,1,60,0,0,1,0,1,0,0,0,0,D,Defender,0
Jo Valdez,CSUN,women,d1,2,28,0,0,0,0,0,0,0,0,1,F,Forward,0
Joana Dias,Saint Peter's,women,d1,2,133,0,0,2,0,0,0,0,0,3,M,Midfielder,0
Jocelyn Chinea,Houston,women,d1,1,66,0,0,1,0,0,0,0,0,1,F,Forward,0
Jocelyn Herrema,Kansas,women,d1,2,46,0,0,2,1,0,0,0,0,0,F,Forward,0
Jocelyn Jones,Westminster (UT),women,d1,1,42,0,0,0,0,0,0,0,0,2,D,Defender,0
Jocelyn Leigh,Marquette,women,d1,2,80,1,0,2,1,0,0,0,0,1,F,Forward,2
Jocelyn Lohmeyer,Georgetown,women,d1,2,77,0,0,0,0,0,0,0,0,0,F,Forward,0
Jocelyn Ollivierre,LSU,women,d1,2,142,0,0,0,0,0,0,0,0,0,D,Defender,0
Jocelyn Travers,Duke,women,d1,1,20,0,0,0,0,0,0,0,0,1,D,Defender,0
